year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,OH,BWI,9.0,1.0,0.14,0.0,0.14,0.0,0.71,0.0,0.0,97.0,14.0,0.0,14.0,0.0,69.0
2016,8,EV,MKE,190.0,46.0,18.81,3.21,13.63,0.0,10.35,11.0,0.0,4079.0,2082.0,471.0,698.0,0.0,828.0
2016,3,EV,BQK,89.0,15.0,6.52,0.0,3.49,0.0,4.99,0.0,0.0,1004.0,577.0,0.0,140.0,0.0,287.0
2015,9,DL,GEG,139.0,9.0,5.2,0.0,1.09,0.0,2.71,0.0,0.0,417.0,300.0,0.0,41.0,0.0,76.0
2020,11,OO,BUR,191.0,19.0,14.0,2.0,0.0,0.0,3.0,0.0,0.0,970.0,807.0,68.0,0.0,0.0,95.0
2023,6,OO,PIB,52.0,7.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,500.0,485.0,0.0,0.0,0.0,15.0
2018,4,AS,BWI,116.0,18.0,3.69,0.16,12.6,0.0,1.56,0.0,0.0,776.0,334.0,7.0,384.0,0.0,51.0
2018,5,F9,MYR,21.0,4.0,0.03,0.0,1.44,0.0,2.53,0.0,0.0,253.0,1.0,0.0,31.0,0.0,221.0
2017,12,UA,ANC,64.0,17.0,7.26,1.52,5.6,0.0,2.62,0.0,0.0,756.0,300.0,67.0,168.0,0.0,221.0
2021,2,F9,OKC,9.0,2.0,1.93,0.0,0.02,0.0,0.05,1.0,0.0,170.0,161.0,0.0,2.0,0.0,7.0
2019,4,OO,DEN,3789.0,415.0,130.62,14.65,116.45,0.2,153.08,129.0,2.0,34142.0,17448.0,1217.0,4778.0,5.0,10694.0
2023,5,DL,MSN,152.0,17.0,10.08,0.0,0.51,0.0,6.42,0.0,0.0,749.0,415.0,0.0,27.0,0.0,307.0
2017,3,DL,ROC,96.0,10.0,6.39,1.0,1.65,0.0,0.96,2.0,1.0,583.0,368.0,22.0,51.0,0.0,142.0
2017,9,UA,KOA,77.0,9.0,3.17,0.0,5.0,0.0,0.83,0.0,0.0,307.0,127.0,0.0,147.0,0.0,33.0
2019,12,WN,ORF,238.0,48.0,25.02,0.0,1.74,0.0,21.24,1.0,1.0,2145.0,926.0,0.0,82.0,0.0,1137.0
